target,train_rows,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,40,20,0.4860514632204781,0.3957159503627563,0.571759221817578,0.13398674995637494,0.09913294076351212,0.15836082594988404,32.65063198164667
delay_avg_ns,80,20,0.6790383762494574,0.6347964728993534,0.7474595978693626,0.46298006498180244,0.07508229133913903,0.1270230953908243,23.016493504464528
delay_avg_ns,120,20,0.7838486167668214,0.686889037322247,0.8169431196797117,0.6342961338624917,0.05985974067915517,0.10600930554234136,18.440878580980687
delay_avg_ns,160,20,0.8200659130315601,0.7950215576277682,0.8526739074746412,0.6909949471075292,0.05534544366322025,0.09343012388767138,17.106194839632753
delay_avg_ns,220,20,0.8667306847888075,0.8463981610768305,0.8971293086362343,0.7937509438312229,0.04581240616935335,0.07985196695711438,14.587452105741963
delay_avg_ns,256,20,0.8802539685274992,0.8659135434538208,0.9082089311170078,0.7902176097254338,0.04616519921113802,0.07529716039816906,13.828890135024476
power_avg_uW,40,20,0.8045461058567591,0.7764081819426919,0.8480242306481592,0.6486092194108977,1.044420575462114,1.3696798440227127,20.76048681768978
power_avg_uW,80,20,0.9013958982669629,0.8958764428063002,0.9178638980888085,0.8546180389755333,0.7301447825465652,0.9804206159761997,14.343966014751482
power_avg_uW,120,20,0.9424265300802099,0.9265717803733308,0.9496938129180658,0.8770787088624523,0.5797147125551125,0.7553937963080894,11.155100688875894
power_avg_uW,160,20,0.9509017845623909,0.9436918303648818,0.9587191220007145,0.9259926821796598,0.5305913291745548,0.7066632114604268,10.527742684425036
power_avg_uW,220,20,0.9647324007801024,0.9616131368300858,0.9697331395666705,0.9525406935148062,0.4428867902971196,0.5891490452237687,8.427826135086908
power_avg_uW,256,20,0.9721344490298884,0.9656855726339227,0.9775045517281367,0.9582656537225536,0.3882672446157147,0.5144566256571139,7.566126304377979
