seed,heldout_corner,support_rows,measured_spice_wall_time_s,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
0,ff,96,60.51100450189551,0.9047198422295019,0.034108167439691826,0.050137435762274404,0.9518414667892701,0.4950313462109367,0.7337160517608905,0.8538959773116407,0.9410587535261652,0.9133801515021582,0.881426789651782,0.8538959773116407,0.9848851517637408,0.8970125786163522,0.875,0.875,0.9955857550795066
0,ss,96,60.54976599881775,0.8528398479547857,0.06676014162389318,0.12011678532385348,0.9432017728208352,0.5061621556119797,0.6795514859104805,0.8783492268775855,0.9499201884385494,0.8183643199603619,0.7853069246457989,0.7853069246457989,0.9779327317473337,0.8812893081761006,1.0,1.0,0.999151094990671
0,typical,96,58.38279424593202,0.8803791027515602,0.03681668684678822,0.06103201113137478,0.9580878247485302,0.4623759893619791,0.6372695451399787,0.8862360706843453,0.949498632423377,0.8957928419049819,0.7918449570231553,0.7918449570231553,0.9851488339388259,0.8937106918238993,0.90625,0.90625,0.9956355796122093
1,ff,96,59.622613621118944,0.9172523780399162,0.03163454153105466,0.046723852642921504,0.9550816081614143,0.5150377609722219,0.708603828740927,0.8791603972844569,0.9225459649715874,0.9601824588565375,0.8346773348216392,0.8346773348216392,0.9882046173678659,0.909119496855346,0.90625,0.90625,0.99677278574054
1,ss,96,59.601907920936355,0.8046623498974745,0.08396823319578997,0.1383889984309114,0.9472450830757453,0.47463073247395854,0.6549172777374095,0.8158732020390128,0.9256736488601914,0.7191337580662178,0.7442570990998063,0.7191337580662178,0.9837103011836399,0.8937106918238993,0.90625,0.90625,0.9970515179290905
1,typical,96,58.85267221095273,0.8544899847659175,0.03411294914049479,0.06731325570719822,0.956483059229013,0.4846085120095493,0.6493550793595312,0.9218336932078667,0.9241682394386378,0.9145863314199365,0.6982715712959375,0.6982715712959375,0.9882925114262274,0.9088050314465409,0.9375,0.9375,0.9971406664433585
2,ff,96,58.794165624916786,0.9145660414104972,0.03168055243077256,0.04747622175502544,0.9539941737939168,0.521132650221354,0.7171298699919546,0.8856418516154114,0.9430126484161001,0.9022564625319953,0.923963961339049,0.8856418516154114,0.9794562287589359,0.8828616352201257,0.875,0.875,0.9962160682178809
2,ss,96,59.09815441808314,0.8540829482760748,0.07350897344162326,0.11960838042735399,0.9361126096216416,0.5412494974088543,0.7207133232677231,0.9010826566460542,0.9050588376602183,0.8653394997597765,0.7794345487731752,0.7794345487731752,0.9807306926051799,0.8845911949685534,0.9375,0.9375,0.9949905247780994
2,typical,96,58.729824413050665,0.8842115589778801,0.036705210355316834,0.060046369804374056,0.9500327818056722,0.48989420983941,0.6958179842469786,0.8628707266082751,0.9382226871519956,0.8771597842704397,0.8321001179823642,0.8321001179823642,0.9872202039142155,0.9050314465408805,0.9375,0.9375,0.9973318969008677
3,ff,96,59.435692958999425,0.8890404403266013,0.03160738078559026,0.05410572827000301,0.9594781734840493,0.49024755479166665,0.6730322908564598,0.8875014918104264,0.9484059848647104,0.8492886912761888,0.901500121237567,0.8492886912761888,0.9816301418024143,0.8877358490566037,0.875,0.875,0.9961301528943133
3,ss,96,58.404728127032286,0.8715998600636002,0.06580717199075523,0.11219960688529251,0.9410232104502608,0.5190184330598954,0.6924613531142723,0.8993075969354115,0.9401968336249983,0.8477278694085155,0.8149633535012976,0.8149633535012976,0.9806369389429275,0.8880503144654088,1.0,1.0,0.9991373272533847
3,typical,96,59.94669525208883,0.931576503421033,0.031001077611147287,0.04615904183019675,0.9606451513974896,0.46392857115451447,0.617521647402174,0.8868725486749648,0.9301220099931541,0.9408897323361657,0.9115631377647899,0.8868725486749648,0.9857933903668112,0.900314465408805,0.9375,0.9375,0.997663607327266
4,ff,96,60.0956647049461,0.9053994873716076,0.03342834721794704,0.04995829747350228,0.948507519873769,0.5370395017035602,0.7586881484466752,0.9018438356213659,0.9166061328844048,0.8917247372745001,0.9037955240596238,0.8917247372745001,0.9803029415211533,0.880503144654088,0.875,0.875,0.9954205262316502
4,ss,96,59.19721212500008,0.8570537766695218,0.06869254227419708,0.11838452327080579,0.958377089510096,0.42411949572482666,0.5817296486020076,0.8316728719102847,0.9553766881343279,0.8457915572483262,0.8016890195965811,0.8016890195965811,0.9835696706902614,0.8979559748427673,0.96875,0.96875,0.9985638137353232
4,typical,96,58.1896720470686,0.8823718203967683,0.033043575135838305,0.06052152201640923,0.9580520054376569,0.46115598600260477,0.6375418011233661,0.9158232037865758,0.9503056326368529,0.8949601660671944,0.7903244544472559,0.7903244544472559,0.9867426461971169,0.906132075471698,0.9375,0.9375,0.997609460496796
