pdk,cohort,method,seed,heldout_corner,stop_budget,early_stopped,query_reduction_pct,delay_r2,full_delay_r2,delay_r2_gap_to_full,gap_le_0p02,gap_le_0p05,worst_family_delay_r2,worst_variant_delay_r2,cumulative_spice_wall_time_s,full_cumulative_spice_wall_time_s
GF180MCU,confirmation,locked_three_signal_rule,3,ff,80,True,16.666666666666668,0.9128856038432988,0.9097002195011624,-0.0031853843421363,True,True,0.8103448480367742,0.6245248774126652,156.11793732800288,183.819113075966
GF180MCU,confirmation,locked_three_signal_rule,3,ss,96,False,0.0,0.8884015923712498,0.8884015923712498,0.0,True,True,0.7393767851966571,0.5263613821393434,185.60266475041865,185.60266475041865
GF180MCU,confirmation,locked_three_signal_rule,3,typical,80,True,16.666666666666668,0.9092765874639472,0.9276972030413614,0.0184206155774142,True,True,0.6408770566345703,0.41296917933334,156.78090266988147,183.467911336862
GF180MCU,confirmation,locked_three_signal_rule,4,ff,80,True,16.666666666666668,0.8672316037460384,0.8898604412311922,0.0226288374851538,False,True,0.447653806811531,-0.0399758595905663,160.48766850185348,189.1620459977421
GF180MCU,confirmation,locked_three_signal_rule,4,ss,96,False,0.0,0.9123478490142064,0.9123478490142064,0.0,True,True,0.7383504167106922,0.5995456018627252,185.98404424916953,185.98404424916953
GF180MCU,confirmation,locked_three_signal_rule,4,typical,96,False,0.0,0.8982707419128734,0.8982707419128734,0.0,True,True,0.7471974263673462,0.2321425354312788,186.67201995942744,186.67201995942744
SKY130,external_replication,locked_three_signal_rule,0,ff,80,True,16.666666666666668,0.908109953417553,0.919046666808718,0.0109367133911649,True,True,0.3465246435989335,-3.5439071251741536,148.22307208605343,176.11943200108362
SKY130,external_replication,locked_three_signal_rule,0,ss,96,False,0.0,0.9031895454559776,0.9031895454559776,0.0,True,True,0.6625197589305536,0.3492168024230425,183.4265156632173,183.4265156632173
SKY130,external_replication,locked_three_signal_rule,0,typical,80,True,16.666666666666668,0.8528021312476759,0.8637624091343532,0.0109602778866773,True,True,0.6858641630661033,0.1710017296816112,152.37971191492397,180.94842783297645
SKY130,external_replication,locked_three_signal_rule,1,ff,80,True,16.666666666666668,0.9284709399518084,0.9329307470482228,0.0044598070964144,True,True,0.6773882498651462,-2.9611996546396595,277.37083892233204,327.66598967433674
SKY130,external_replication,locked_three_signal_rule,1,ss,96,False,0.0,0.8958717059403504,0.8958717059403504,0.0,True,True,0.7776468483761302,0.5471026202923134,325.92709733423544,325.92709733423544
SKY130,external_replication,locked_three_signal_rule,1,typical,80,True,16.666666666666668,0.8640587552348435,0.8582527879601122,-0.0058059672747313,True,True,0.7620689687084534,0.2125033921645406,214.77065333526116,265.9143767101923
SKY130,external_replication,locked_three_signal_rule,2,ff,96,False,0.0,0.931773735881476,0.931773735881476,0.0,True,True,0.5535981319700568,-2.732482151789022,250.79708300100177,250.79708300100177
SKY130,external_replication,locked_three_signal_rule,2,ss,96,False,0.0,0.9190774484070096,0.9190774484070096,0.0,True,True,0.838607720261443,0.6904817419707788,164.14699674618896,164.14699674618896
SKY130,external_replication,locked_three_signal_rule,2,typical,80,True,16.666666666666668,0.8777445419662222,0.8821265242304305,0.0043819822642082,True,True,0.742293720888975,0.1261737454533704,277.2759234593832,327.45673066430027
SKY130,external_replication,locked_three_signal_rule,3,ff,96,False,0.0,0.9187261881853176,0.9187261881853176,0.0,True,True,0.7003664303148774,-1.4397650097210035,183.8860473720706,183.8860473720706
SKY130,external_replication,locked_three_signal_rule,3,ss,96,False,0.0,0.9043933190137976,0.9043933190137976,0.0,True,True,0.8435480527566737,0.5777646884280228,194.71653320931364,194.71653320931364
SKY130,external_replication,locked_three_signal_rule,3,typical,80,True,16.666666666666668,0.895848094657503,0.8939046629156105,-0.0019434317418924,True,True,0.7803609573559283,0.1902297566993834,153.3140940500889,180.9207202571561
SKY130,external_replication,locked_three_signal_rule,4,ff,80,True,16.666666666666668,0.9303416840091944,0.9340809112489732,0.0037392272397789,True,True,0.5732247159140079,-2.485367413869348,156.99437312420923,186.7884678732371
SKY130,external_replication,locked_three_signal_rule,4,ss,96,False,0.0,0.8963071693108448,0.8963071693108448,0.0,True,True,0.7586247858868458,0.4993744795348052,186.99564191506943,186.99564191506943
SKY130,external_replication,locked_three_signal_rule,4,typical,80,True,16.666666666666668,0.8646484180839191,0.8733489464874629,0.0087005284035437,True,True,0.6939837881064614,-0.1051125534849035,154.6626828329754,183.8518769587972
