pdk,cohort,seed,heldout_corner,evaluation_stage,support_budget,delay_r2,delay_mae_ns,delay_p95_absolute_error_ns,delay_max_absolute_error_ns,spearman_rho,top20_slowest_recall,model_fit_time_s,model_predict_time_s
GF180MCU,prospective_seed_5,5,typical,stopped,80,0.8962036724505568,0.526106419219618,1.7956703190104095,3.6815970312500053,0.9624810107696066,0.8461538461538461,0.11682095797732472,0.028051917033735663
GF180MCU,prospective_seed_5,5,typical,full_96,96,0.9031018804197909,0.5144429554230415,1.6768782326041627,3.055639585937511,0.9657837804844969,0.8717948717948718,0.0939987919991836,0.026310959015972912
GF180MCU,prospective_seed_5,5,ff,stopped,80,0.927471264960958,0.37199846163628464,0.9455942898502646,1.6910198789062556,0.9618689471828122,0.8974358974358975,0.10002229100791737,0.02799337502801791
GF180MCU,prospective_seed_5,5,ff,full_96,96,0.9428970272750408,0.3293229920602658,0.9274470524674477,1.5101098815104228,0.9675097658899169,0.9230769230769231,0.10236987500684336,0.025243416021112353
GF180MCU,prospective_seed_5,5,ss,stopped,96,0.9182296881580206,0.8773374239915634,2.6159477852343715,5.683885243489595,0.9617163551528634,0.9230769230769231,0.09404125000583008,0.027776375005487353
GF180MCU,prospective_seed_5,5,ss,full_96,96,0.9182296881580206,0.8773374239915634,2.615947785234372,5.683885243489597,0.9617163551528634,0.9230769230769231,0.09140825003851205,0.027676958008669317
SKY130,prospective_seed_5,5,typical,stopped,80,0.8626963042375702,0.2069719265517904,0.5789139319335961,1.364425356510416,0.9514892982122997,0.7948717948717948,0.09306099999230355,0.02785229100845754
SKY130,prospective_seed_5,5,typical,full_96,96,0.881734070238263,0.19528624182607848,0.6161077219270855,1.2638301132812528,0.9531695060087352,0.7692307692307693,0.08964141696924344,0.027724792016670108
SKY130,prospective_seed_5,5,ff,stopped,80,0.9225514192076618,0.135423581385239,0.31180207687630124,0.4491502097135418,0.9573064454873451,0.9743589743589743,0.09366600000066683,0.026620250020641834
SKY130,prospective_seed_5,5,ff,full_96,96,0.9342491533722528,0.12308282783349074,0.30458191564192827,0.4515268155390626,0.9562332148767059,0.9487179487179487,0.10462412500055507,0.027763625024817884
SKY130,prospective_seed_5,5,ss,stopped,96,0.878459559776605,0.25358999560342477,0.7026223924348963,1.1996492619791668,0.9452567615223939,0.7435897435897436,0.10788345901528373,0.028050791996065527
SKY130,prospective_seed_5,5,ss,full_96,96,0.878459559776605,0.2535899956034248,0.7026223924348963,1.1996492619791672,0.9452567615223939,0.7435897435897436,0.10775970900431275,0.02816708298632875
