split,seed,heldout_corner,stop_budget,query_reduction_pct,delay_r2,full_delay_r2,delay_r2_gap_to_full,gap_le_0p02,gap_le_0p05,worst_family_delay_r2,worst_variant_delay_r2,pdk,method
confirmation,3,ff,80,16.666666666666668,0.9131054290163124,0.9082726864183664,-0.0048327425979459,True,True,0.8212398791317066,0.5930197767546395,GF180MCU,Locked rule
confirmation,3,ss,96,0.0,0.8893653613563075,0.8893653613563075,0.0,True,True,0.7261189166524457,0.5485966881664124,GF180MCU,Locked rule
confirmation,3,typical,80,16.666666666666668,0.911479689258154,0.9286597878222428,0.0171800985640888,True,True,0.6649239056137122,0.4451903476624864,GF180MCU,Locked rule
confirmation,4,ff,80,16.666666666666668,0.8683924548759662,0.8891399525247643,0.0207474976487981,False,True,0.4269437391584436,-0.0785213900281669,GF180MCU,Locked rule
confirmation,4,ss,96,0.0,0.9149503220811754,0.9149503220811754,0.0,True,True,0.7435660676623594,0.6004498536685803,GF180MCU,Locked rule
confirmation,4,typical,96,0.0,0.895809011227574,0.895809011227574,0.0,True,True,0.7509985521971014,0.227152795557833,GF180MCU,Locked rule
,0,ff,80,16.666666666666668,0.9104672437196192,0.9207405809560903,0.0102733372364713,True,True,0.3962293684544437,-4.263728719718907,SKY130,Locked rule
,0,ss,96,0.0,0.9085547609759672,0.9085547609759672,0.0,True,True,0.7002328859977078,0.4259987169135651,SKY130,Locked rule
,0,typical,80,16.666666666666668,0.8530550438288061,0.8626381628569371,0.0095831190281309,True,True,0.6879988314133603,0.1227883443753629,SKY130,Locked rule
,1,ff,80,16.666666666666668,0.93146253099916,0.9366108663295928,0.0051483353304329,True,True,0.7235232119276641,-2.890190553659135,SKY130,Locked rule
,1,ss,96,0.0,0.8955294135687898,0.8955294135687898,0.0,True,True,0.781249310139818,0.5721929514139992,SKY130,Locked rule
,1,typical,80,16.666666666666668,0.8637218667110761,0.8587786923569616,-0.0049431743541145,True,True,0.7560617595332835,0.1654866516035943,SKY130,Locked rule
,2,ff,96,0.0,0.930830472661754,0.930830472661754,0.0,True,True,0.5255118954437062,-2.753266189369562,SKY130,Locked rule
,2,ss,96,0.0,0.9172442266604004,0.9172442266604004,0.0,True,True,0.8363554969299143,0.6822816343927027,SKY130,Locked rule
,2,typical,80,16.666666666666668,0.871542847571719,0.8842338826074974,0.0126910350357783,True,True,0.7538961405607585,0.0770902425657305,SKY130,Locked rule
,3,ff,96,0.0,0.9231450904521068,0.9231450904521068,0.0,True,True,0.6950134696235819,-1.389037434318702,SKY130,Locked rule
,3,ss,96,0.0,0.908767786040083,0.908767786040083,0.0,True,True,0.8508282227604391,0.5834030043942147,SKY130,Locked rule
,3,typical,80,16.666666666666668,0.891873921452562,0.8929657726295906,0.0010918511770287,True,True,0.7724786547201179,0.1769630361579642,SKY130,Locked rule
,4,ff,80,16.666666666666668,0.9319947340947676,0.9384437428432216,0.0064490087484541,True,True,0.5406218556323534,-2.794714320608126,SKY130,Locked rule
,4,ss,96,0.0,0.8953704384245353,0.8953704384245353,0.0,True,True,0.7747018814715955,0.5502194672648955,SKY130,Locked rule
,4,typical,80,16.666666666666668,0.862616803364048,0.8772439668469786,0.0146271634829305,True,True,0.692893917815959,-0.0741251200714432,SKY130,Locked rule
