target,labeled_rows,median_mae_hybrid_random_then_uncertainty,median_mae_random,median_mae_uncertainty,median_r2_hybrid_random_then_uncertainty,median_r2_random,median_r2_uncertainty,median_r2_gain_uncertainty,median_mae_reduction_uncertainty,median_r2_gain_hybrid_random_then_uncertainty,median_mae_reduction_hybrid_random_then_uncertainty
delay_avg_ns,20,0.10601505165632237,0.10601505165632236,0.10601505165632236,0.36183065442985396,0.3618306544298542,0.3618306544298542,0.0,0.0,-2.220446049250313e-16,-1.3877787807814457e-17
delay_avg_ns,40,0.099883191492863,0.09988319149286301,0.09162484133279594,0.5292155878711878,0.5292155878711878,0.489045194932172,-0.04017039293901581,0.008258350160067068,0.0,1.3877787807814457e-17
delay_avg_ns,60,0.08203666303433729,0.08203666303433732,0.09096551218253711,0.6136827128666037,0.6136827128666037,0.5708732324563457,-0.042809480410258005,-0.008928849148199788,0.0,2.7755575615628914e-17
delay_avg_ns,80,0.07939185432692109,0.07939185432692109,0.07443614087351708,0.6586133494685547,0.6586133494685548,0.6705834015448754,0.011970052076320625,0.004955713453404009,-1.1102230246251565e-16,0.0
delay_avg_ns,100,0.07508524589182373,0.07272636576657854,0.06910872053697503,0.719124947277341,0.6866981036308895,0.7236523642199613,0.03695426058907181,0.0036176452296035055,0.03242684364645154,-0.002358880125245197
delay_avg_ns,120,0.0678728131802791,0.07355616378892818,0.07385339740473584,0.7354729724778764,0.6993947745138442,0.7593309093872774,0.05993613487343319,-0.0002972336158076627,0.03607819796403211,0.005683350608649079
delay_avg_ns,140,0.06547463177197782,0.06782296537583701,0.06937361636883578,0.7574489219283561,0.7010972762065901,0.7808601790388778,0.07976290283228771,-0.0015506509929987672,0.056351645721765986,0.002348333603859193
delay_avg_ns,160,0.06363578482212093,0.06239260281110748,0.06979044832899753,0.7764093074370343,0.7257009400774028,0.7601909756671495,0.034490035589746726,-0.00739784551789005,0.05070836735963147,-0.0012431820110134495
delay_avg_ns,180,0.06059463211268094,0.06190269431991888,0.06348422413586102,0.7730585355570005,0.7330692716126639,0.7748308430307189,0.04176157141805503,-0.0015815298159421454,0.03998926394433666,0.0013080622072379339
delay_avg_ns,200,0.06062780499935413,0.06310872908159115,0.06447233561507562,0.7825793243998045,0.7593929289624268,0.7705210760719634,0.01112814710953658,-0.0013636065334844683,0.02318639543737766,0.002480924082237025
power_avg_uW,20,1.4202162701239047,1.4202162701239047,1.4202162701239045,0.6933935136837677,0.6933935136837677,0.6933935136837677,0.0,2.220446049250313e-16,0.0,0.0
power_avg_uW,40,1.1558641997109578,1.1558641997109578,1.2515060445584472,0.8189180029169655,0.8189180029169654,0.7270039500526988,-0.09191405286426657,-0.09564184484748939,1.1102230246251565e-16,0.0
power_avg_uW,60,0.9146244916940512,0.9146244916940511,1.1787654784252029,0.844832033137132,0.8448320331371321,0.7901103602869767,-0.05472167285015539,-0.2641409867311517,-1.1102230246251565e-16,-1.1102230246251565e-16
power_avg_uW,80,0.9518716088481214,0.9518716088481212,1.1071882132021948,0.8371793997004727,0.8371793997004726,0.8190265585002308,-0.018152841200241854,-0.15531660435407368,1.1102230246251565e-16,-2.220446049250313e-16
power_avg_uW,100,0.9997233113658719,0.9831237545150253,0.9992818652674436,0.8181488027618767,0.8266801641915349,0.8367376940978373,0.010057529906302376,-0.016158110752418242,-0.008531361429658157,-0.016599556850846575
power_avg_uW,120,0.9144659004903475,0.8391652076040346,0.8818512357241028,0.8469855402763301,0.8727796890060389,0.8795087830506844,0.0067290940446455005,-0.042686028120068276,-0.025794148729708755,-0.07530069288631291
power_avg_uW,140,0.8393693678184375,0.8142470529689189,0.8688021147827415,0.8623731080629085,0.8837820952524634,0.8890414126373956,0.005259317384932127,-0.054555061813822636,-0.021408987189554973,-0.025122314849518657
power_avg_uW,160,0.7748768936631948,0.7759497472677952,0.8076360418677571,0.894068506845143,0.8976313795343266,0.9024043079916774,0.004772928457350778,-0.03168629459996186,-0.0035628726891835383,0.00107285360460041
power_avg_uW,180,0.7785432386264521,0.7812523018767192,0.731571256415748,0.9063320450987747,0.8972140540484618,0.9211672966251248,0.02395324257666298,0.049681045460971185,0.009117991050312968,0.0027090632502670964
power_avg_uW,200,0.7404456852795624,0.7516580999669629,0.7323408382827621,0.9151432457941678,0.9077493295410951,0.9217893960900767,0.0140400665489816,0.01931726168420078,0.00739391625307273,0.011212414687400418
